name,branch,description,pubkey
coderdojo-hiroshima,hiroshima,CoderDojo広島用のサーバーです。Wordpressやニンジャの開発環境として使います。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQD4+UL/lfeFyf84pCLH3Cg8XOo7HzqguwzimBGPX59Bc9U1T7/NOHCyKREeXAt2mO3IPzGVHop80Ew3D3KwktqQFQEmfsM5WSezASZ0Ev8NEf35zEB814cOB06fzkwR+lzZK567wLGN2OoJVa1+7CivM/+oMrjyoq5Qh7weTT7S9D6dXmOzwBpwbEjUGdASjV5kCWLS0v+yAtlPQgXtQJwsnfSyXZvP4BiCwzXjbEddw25d5etr16cd/f1MPN5prrQhuwxn7LAZrJW9I9q6o1bRfzcEzriRPMoxf6zkCEtK66Eno86cFd0bPE2J7CNKIJOLjMg1YxaZpzaK9hd9Wxvx CoderDojo_Hiroshima
coderdojo-chofu,chofu,CoderDojo調布用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCwtQxtVIXN/vzbuSotVgiK4Xp3bnSV0XT6idXE8Oi+OE6j1l8dj9Tr1t+Ui0zszzc/D/ZDcyiWc5JD0MVm+Qvxi5M+JmgRVvb4nzHopMvtY6if70qhV6fv2Ay3s7URqch6aBq/c6p9DxJcGSHdfBQNbJXGJd4lxxM+5YKfrrJ4DA2Cnwbvla/R2v3xWnFf9naf2CEWVzwdZ48Sf7nNdMPOaJ27v72Jb1CT2LRlb8683nm23ty4PLb9egczRy8th7IJNLX7G5FgN0Xpr8VO8liRYrw9vw+rxoIffKS0RoW677ZIUnZHPF/N5cprcqEpvZUrjP54Lr4nJrIe61nRygD/ kow@public.key
coderdojo-sapporo-east,sapporo-east,CoderDojo札幌東のサーバーです。Ninjaの開発環境（Dokku）とマイクロブログサーバー(Pleroma)として活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQC8RDYHZHA/fHSkoxvaVdOMzi/B+kF1MdtPTCq/Vk152AtNqQ88AyedsnnTySVitjiVMMEH6Ige2magMDLGTn8Snuv4quwGcX+mPkrU0mji9wQJkKcIG9MeHIiqUzJgDRq9MqKQuVHhYsuGDAsfRfkQqaiO8rwJcTX4WkHweV0/Gy86GHDqk8airi5mdIQdBApQ5+Lpi8q8fdUwHvKUicBbgQTihS7lZPRUGQCYkdyPkdGJaa2MTK42bSA6O6BXp0bLKkNYssbri2nJy2/Lhw7cyPE8TT4PiPRg1e9LArq+OwuEDCR3lGXliJqdtbpuHFOxosFKGihshjfsbUFyVhsDjbJchkGwlBFBr5LDBlxtfdmMVxm6YmN3n496cuNsUL4SFebJioolAVIVyJbsF4JtHFX1NmSSqyJFm1BdjrQ1uEBX4Kp4bNIsDx6mbTIMZNar0XEmN2VB3b+Mq8cohT7qAeXhw2DayGWUD3SeynKPdcj5mmJKBAohApmTByMMA2HZUpfzh/th1EZxmw3Mf24KxD6xtMCv5dGW9I16wViy8005ZcvK8GKXRaHHoJVNAwRNOVrJyO+9NuV7ukNFWzI2IyKGvA20xcbFAsjGJ1X9cp2WaSb0bwA+zcjDz32wY1gUJU+OkyPBOicuQUaYIAQi6lDvjoWcYeTG2/1h73ZQAQ== manzyun@gmail.com
coderdojo-tempaku,tempaku,CoderDojo天白のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCjWEFQQBZoIyBhn+pZmr7Imoa7FLqL0SY8fy4/aSzM/DVyNB5K6ylw8IjAvjp7itMaL7B1Aff6L66R+4VW38mR1DQzcAN7mUZVmjZTh5eSfNFaSkrVezvz+eUYqnyvQ3/Q3crKrgelp5UofAjHZHyz2x+C190NT4sn2mViQCzhh1j+iusVtD2CyVXbXhcGAD2ysWSLx1ohtb+M7H/he/Cd8D7N/GrxZrXTyTqMpi2g0PMvUvpzyKpVSTmz8Fb1MDnIZAmgVfo8N2QYbrylmbKafax2aUlGpLwo4yevCOk4RyN+1iPq3UyxZJ/zylCLsjBBMYyC0Zcas+J2lCyT90J1
coderdojo-takatsuki,takatsuki,CoderDojo高槻用のサーバーです。忍者の開発環境として利用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC2/xS1dR2aacQ1EVbPQnDtSkib+j9Rl6v2OI0xLytE8z+E0HYW2XRsDYDV1RzTojadovg41Ca2lzdfs7yYzNmQFS2A2b7o1R7q+BT+qX6m9fXktk0zCjDyjYgj2xZ8RRQeu1RNGnrttlarkDAKRMcSMLPKxoDSrohA507h5atzGTyq/8EUEWx1DCSRwWY+NQVi3vpLpBBsscMRunPVydFbsy7zvYtU/jTjuhLYIUmCCgqEPs075kfqD56jne1sVyoiw97CduyoUH+xDsm9HnCTAWdQ7EvBSTrqXMIFhNuIS0P30UXaJKCugUsAcjWhdOshfBWsgoZzBswPFAf8u5+b Takako Oyama@MYCOMPUTER
coderdojo-kofu,kofu,CoderDojo甲府用のサーバーです。WordpressをインストールしてWebサイトとして活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDEzWyv/9Pk51ehP1BJwX0FJtmNOotNB2/2MFyQAKQVx67EWtbyf9pYB/fB/oS8ccd8F0acZFwzptcOkNLJlmkvW1ofcw/5aUzXctDQjNfIzzkl/7wjquosZA1mEZzsgKwFzY0VVn3TDx7ExzYgZyU8M/F+xildZogUDhMG0KVQ+hjtkM5P2vp1MmRF2lQjRs/oSXDPQCRVGYFMwKB5cM+2sjUa6VRBQkx5PZHBsxCteZohs0fAoDqWooodR3QsvT4DXB+EofhURHFazRA5Mq4QkYedRJUn4tbzNPCXbLq9rqwGDBOBikobrGY4D3U/5kaEkFLQg0LpOgYWgXaA9zyT hideo@
coderdojo-wakayama,wakayama,CoderDojo和歌山用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC7pfY9VbNGtu90y5mC+151nU5kxHcF+iVRXylAgbDR1/mZlCsh2zE7Df5rERyAYzbgJj/BP3augSdr/cv+lSZKF6ALNSxL6qPeXvyxVQ54UBR1qycI54C6ws+LAatQhUR2h85Ia5dHaB8CGsBdC5j2U4tntxTDqg1tf1x7kkFrrDssgxGQSl0s6JK0YSSAhZm6Qw75v4P4UOVwSE6OMQIiKWpmK7Qqzcmo8vU/Syo5wSr81kTlTt4yVTzuA9SDCnsyo0wR1ZupjZikY2wucaFAl1k2d6cAXKCeT0lpZfiCNr8Tjv92v/tdPlCSbbWN4/3TlylBen9bmnDXygToFz6t Oimus@KOJIRO
dojocon2017,dojocon2017,DojoCon Japan 2017,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDG4mtK9rZyaxrLyiIIPEhJY6U3vd+PCzsCOaG6BTH6509Ng4Dc+U+LfCE/eK23r2oV0YVY6w1nHSLdcCh0vEzTLB86Wg9xBImiNVv+NoxRE8ZpQZtYOAYdlcFXGcHd2ED9V7eng750L/95PF6MrFuY7YKEHUJfIOdn92Cb+AhbjQJ3hBe8F9GTGV1dYZsevZO7CWx5LYk46MXtUMYMudILy6Qy8fI9swIFbjF8I26qYOt7itaHitGENdKG/JYl2HMqnn+TzIsPEBdPF3DJtU0caaFopa3a1xx0a52/0hgMG0a1w6ArmTlrdsTbOntAuhfJXFbtoYOSGazlM1Ht+TCZ takashi@hosotani-no-MacBook-Air.local
coderdojo-ginowan,ginowan,CoderDojo宜野湾用のサーバーです。DojoのWebサイト環境及びニンジャの開発環境として活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDE3b0KOsT/3BDtWuq6IFxSJAZGlGQSCqriv3mGH9KegbhQwNg1JGo52rUddyNDQ3R3bhAStsDXisMYVbUMZCT04Dnxw7nt7ughIP9ck8RBSZs3fAYRsKYQzsiNdytvTA2AIfLz+VGx/kSgMd82dqMIGgAACCayTyahi0N2/ssVmumvJMJg0ZcSCF9tkeRHxeJ9IRk9UFkd84efidtxQlInCBQCUyJVHCowZ2RkRdR5a6z+r+iS1PTPGGGdgIliwwCBVlf1Kt4coBTkOZqJq1lI34fhQZnhK5oBMwLHQSBsIwLrIz+vicJy9CbuA1EhjaDyMA5bbjqEPopMsfsYgEz/ coderdojo-ginowan@gmail.com
coderdojo-okinawa,okinawa,CoderDojo沖縄用のサーバです。WordpressをインストールしてWebサイトとして活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEA0HBWeA+yLPS3JZd6LebHmQo866CZimYVHkqwWA/d9lkw151xcyRKPEkcmc8JB0CfxTGEaZMVFu1yIvj/lcn/N9JIWjhKN19JwCZHvej4/RepXgAow9UeA2Gn11MJsOEaI3w0NN9RC1LKV7A0X1Nw7aBRgPFLaFn0ZjvpZLwq3prs6vB6r/SbNclDJr91xlq+cNwfKC7+YXbOtOjcrMwNejQzi1lvDfHiZwcB83b8BdMGftfNPkxcu4adAWFE8Tyg5hFHALxsAJzwL8PDjbYmd7j+6x8zNhRXPMjraD/TGrUGg6a3BAW5lX9IclRaD9P0MED5mkSoAjI7bDeYalCyWw== haebaru.jp@coderdojo.com
coderdojo-fukuoka,fukuoka,CoderDojo福岡用のサーバーです。DojoのWebサイト及びNinjaの開発環境として活用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDJT2kOvBzRUMNT0qiqHBH1wcPWkfA8rVHm0v7ovEZzOZ1O7nUZdiJeyw4I60Oni5VBGzAOOcYxtwzeQ7KdmAS8pwOW24xJDtdqXqE9u925O2blumI8hLqkPRpFkjbFfoIED2eScBWO8j/h1xTp3wwgkuNWxe/dkXhqk2eeE4akdd9mVcV9wTvRRRqzPumWjtCZ6dvSDWOOOpDTgq7oKs3zsOUVzfLPCYja+Ehrsx+eOdIvvTxiqAHo2StC0mq1d2MQ3+gwBbK+ueliS44s6khBPz04VaSTi0RG9ZLkP/xpcChchFAQq/HIUdjhPyiaE+92cMURmUhIa4kvSMsqH/9l coderdojo.fukuoka@gmail.com
coderdojo-minoh,minoh,CoderDojo箕面用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCwnThn62fW5Gvr9xX91M3iKoq1apnYj7+w5nnDMlVUUcztEWWvAynX2l4nJ10ngn5qkg7JUlbZHd/NObvEMOvEZcO4onSmBVjGgAupv1ZKVSJlHjKK4AJKeYzTt8Rn3cx/QgYU1uv9pMzKND0+8iUCJmgp3L5nJAPKNMK7L1y871hMGJ0PbQpegbR8VQs8XSGy3RXwlqa+eQjmU3BlrLmp2n0WFsGcjpTA9BD/S07OtD55YrO8j3b2W8JSpkr3jSMXPAxux9mQfmjjP34FT8oAOnUFldbvozb/YHteJ7sJd39RgDU5njyidQtuOc9zdBEEqtw+O/FRAKIWfHAFYccn CoderDojoMinoh
coderdojo-umeda-nishinomiya,umeda-nishinomiya,CoderDojo梅田/CoderDojo西宮用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCmJ2MjY2Oocz27LiusWi9qqH7rxMahqOgNj9zsGOuxEi6JVjj7/tXwT5KrjFg8E+M/K5jVYlaI2IDgrIgyUYlTWUiEwnjO80SvxW/oK/I67IeMlYPSNTP+EGJpCjqFwk1wP0CpDRBBheGBnY3Fb1PYWA9tu7erRB/V20Fb6u9hvZzpWclNjqOgfgGrlHEEjoqe6ndSM5wBxuU2cLWihVzCEou3gHar4UdG1v3+nSK9PUpXMcfSbzM81NZVkI157eT1aniB+X3jmfzr+azc8sNFs6l2UzWI8N9ZeZ+27oLgLjsa8F7EjnYKZGdJ9z70v0P5ZvlMwqIf9nehkdqBywPN Takako Oyama@MYCOMPUTER
coderdojo-hirakata,hirakata,CoderDojo枚方のサーバです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDYkc8baywGCVZaxIZsMBNfqi3kQUFKB8uR3Z2i29zKFWbbquT8Xmazkkcv8B8cIRcoWb7CpdtPKN/li63p0rZ/DoWuBhjEa19chx5F9ZC7L5pQvL6iprgE1owp4sFdUq/FLVZ/XUI5nj6V5cmP5hbUJXkTC3/QrpsAx8IwIjVAJmy5W9B/YgHaf97o9+4Y+WtnCpv1cPwechqYC+VuRGzqcNCfR5xqmL4CFsBIlypMA5HD0RHwOAUd28VIWr26waHSNB6VpwcHhzGQxLNwKyTShY5g9221UYeJo9cftfLGq4UVD4n7/Hx55U/+DpN/HMxFQe8UA+JlqaAs78xPTos3 hirakata.osaka.jp@coderdojo.com
coderdojo-nada,nada,CoderDojo Nadaのサーバです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDFdyyDrEYZRCAc5r3ATDqZHQkoPMvwvOjPMM6VyDXY9SEME+SpsGYX17aqgSHtXOXV2QwP4vZ385ORunc4kaED6jZoOOby+wDZdv0cKtwcLKhSl6gRQBwy69y0JHvAgvpV+IhHx0y0ovBesX5XVFiTlNgMmgxQyQBNObyIyIzhEz3/7KfQJ3o3CY+tQbmpOsvleX+A0vkcvHIqPtEErz/p+D4Ui+xVpKs2RiK/BcfwpreMqyNp8wdi3+rsQrMZNOvCh8o0QEnw4aSZFlYcUUhQhbFSbxoII0LfIr5e+HULbmyxNusIJ+rw3W3s25H99agbI/DV6lIl0/kERjhzvoWr tsuji@tsujimac.local
coderdojo-sennan,sennan,CoderDojo泉南のサーバーです。WordpressをインストールしてWebサイトとして使います。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCXoOG1LsJI6gNe6LFsHnGEW9Zvej+XTFe35D2gu86nEmGjlB2o1aqPndiuToJ+Fsr9LrFuedtGeEvdgBIKo6YWyGsjmTob253H6DbfMWoRLu/ptuyVKWgO6pU8umTC+t7aJai3oBLXN8bRkuSa1n3GI9VrcmPTyViDxo4GQ4HGnoylXt4OWjJJLvc0NBXFs6QTqUX+1gD0TC8jk2nqH+OQhvg6I4zcNZxoveE8d+OXT20WhZqxELCfvD85Q+9BVR7G2oMvlwbUM+tXKgWtmZ/pnd9wW+0cVjGS9S4AR6jeB8RLGyhvlOeDLWjoGnkML25SZQ+9jcceBPOYS8sqofBV a-utsuki@
coderdojo-nagaokakyo,nagaokakyo,CoderDojo長岡京のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDet/6imaTdVXBN1+xPO9IHG0MADsuZWTtFH/5gED65IOsT8NgXzWIxOrGos6eFogLoyT/SfP6W8PeRfydAZvPIoV7HfriNX/zP08lGQwAgg9bvY3piLXMVJEMVAIWATUbQ+tYPLFxPeFgBAY3tEJnhkfmjkda1jNzha+jFPC6WVaM9j3WEPPlWnAAL2mvch+I3oWhi/zrz7hA6fU2WN+vKukXptLIuIxIK7C/nNtz0ugdJPSBTTaze8NwT3eMZHZDfCbcFv1oUkqXwu1DMs23q8ngUaz94CBrzJqwFrHODBvbGGScqocRZ7CoK1m050BgDr53Qk465+l0hA82glPmb jinpandy@MacBook-Pro.local
coderdojo-kashii,kashii,CoderDojo香椎のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQDz+wwjhixFjAkYKFbrNFUT+l5YFCALFVwH/NR5bPL1Q0x01KmEpdS2vDcJAJl4nN3EdOHmFqfwLZTw6QEnbF5BH2WEd80opw14FYYK16Fd1wTdu9QyP8bC3GFjc2jljaAXJAjqJj4wgPkYZEe5PmCwVkeBlAhQVFFcXpmNbXyy6y05kV2svrgc76iS1mXdPG/NyWUK8d3bP5UB43ybiMDjQrbQjEcC04xIhIp08Ot69hMerXC8sonUl+I3CzJ9Z+dj/4Z8nNmZkxCLD2UGsga4i2xJRZMJq7nAGXM7t1dAJN2Lgt5HUy+kzw+K9XJbkyU3zWj+1MRM8dfoCY9DUjs8Z7bg2VALcbODPTykbPt0L3AFaGkns2JYpoL+PwdSQDPxaEancbAOE4YKeEIDco2quJZuC6ZPZKliPk7u8R7jk9OFK+6dyCFJdcE19nIqGeHvMYXK4FrGGahorDuXUXWf4YAGmoCOqx+sFE1XI5F5rsMcSqbuMmbsdslkgFBBIY0gO2vY2xBV//gKcNK3ojGduWpC3uQWN1TjTw+BuT7cne/jYu+jv1oEJmdjInvCj6xNxu6mm6qoFui4sykYZufRJeOlJ7Z3rdRzfDkxbFc2LQ89U855sef7m9LcIIXmkyBSWi4in5EwXUlUlGVjN5mJrLMeccUoKjg6fq+GHtqH4w== kashii-fukuoka.jp@coderdojo.com
coderdojo-kashiwa,kashiwa,CoderDojo柏のサーバーです。Ninja向けのWebサービス「OnlineDojo」の運用に使用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQDGxwEa6O5lNl3WwssI/rmmoVA0eFy/MQrebxULft88M98XR3XE3GJbRxv76XJL7rrdMU26r6JBbQ0Nc7J68RQ2HyHALYJtTdB3kI3UUHFvslwFgjuQMZeI4jFggxSIzdq0HFkIHJW3GcYphKe0nkGygWVyMEwO9Se1x5niLfS1JC/V70uILMWDv63l9fpSWCddSADc0lTCBqEpBfy3PAogpzltBk98+bJEPGYJwMQFLwqQFLXl0O2ij9OcxGdV0yamGXyNoWvsSPfZ71ZCTwOLqUv8Fvq0LQABTs40knZgxs33NWW3iAVd5VE+lByg3mxSU8lA9oRVZNv/Fms/jjqxKqbzSFmAY/Fs0eyja60Qw4FnO+MepkDCcor9sWi3X6OYyP1+U3nNKbIBUoTyWYGzZ1N97PQU2TEXLlhHLgixttDlFSB6gp6XXcTCBh3jyF5ChG8zlXV+zhLq16DZvF0TyUvt7bD77izfyaLntYtztuc0ge3u9cv/agzZOdystl/zsh3yombKs2sLOmtdsiygd6PNbZNpXxGhDy7caoRU9uAhLKhWxzHc3Rc+DsoImQRsOceiLVL1ZQOBgvD2ALO5KDxNL5SmfB5IW9hhXGtHYSzvg6LliXnyEK/ak9RLiecL8iJJ6O3b4JoVplIvmkjGGnxMwrwap8XndHzsgi5nkQ== kec.bigmt@gmail.com
